Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 147: prob=0.000000000317, clase=0, paquetes=2, payload=140.0, ACK=0, RST=0, SYN=0, duracion=32830
Flujo 148: prob=0.000006537412, clase=0, paquetes=2, payload=90.0, ACK=0, RST=0, SYN=0, duracion=95000
Flujo 149: prob=0.000034364410, clase=0, paquetes=2, payload=72.0, ACK=0, RST=0, SYN=0, duracion=41644
Flujo 150: prob=0.000000000000, clase=0, paquetes=2, payload=222.0, ACK=0, RST=0, SYN=0, duracion=50456
Flujo 151: prob=0.000000008919, clase=0, paquetes=2, payload=125.0, ACK=0, RST=0, SYN=0, duracion=117138
Flujo 152: prob=0.000000028349, clase=0, paquetes=2, payload=114.0, ACK=0, RST=0, SYN=0, duracion=4970
Flujo 153: prob=0.000000001496, clase=0, paquetes=2, payload=150.0, ACK=0, RST=0, SYN=0, duracion=112952
Flujo 154: prob=0.000000000000, clase=0, paquetes=2, payload=214.0, ACK=0, RST=0, SYN=0, duracion=59038
Flujo 155: prob=0.000000000548, clase=0, paquetes=2, payload=163.0, ACK=0, RST=0, SYN=0, duracion=94416
Flujo 156: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=1, SYN=0, duracion=493
Flujo 157: prob=0.000000000000, clase=0, paquetes=45, payload=29221.0, ACK=0, RST=0, SYN=0, duracion=5658889
Flujo 158: prob=0.000000010466, clase=0, paquetes=2, payload=123.0, ACK=0, RST=0, SYN=0, duracion=44260
Flujo 159: prob=0.000001219217, clase=0, paquetes=2, payload=96.0, ACK=0, RST=0, SYN=0, duracion=5280
Flujo 160: prob=0.000000000000, clase=0, paquetes=62, payload=53773.0, ACK=61, RST=0, SYN=2, duracion=13940896
Flujo 161: prob=0.000355489959, clase=0, paquetes=2, payload=64.0, ACK=0, RST=0, SYN=0, duracion=4151
Flujo 162: prob=0.000000000000, clase=0, paquetes=57, payload=38076.0, ACK=0, RST=0, SYN=0, duracion=2319774
Flujo 163: prob=0.000000000014, clase=0, paquetes=2, payload=184.0, ACK=0, RST=0, SYN=0, duracion=51878
Flujo 164: prob=0.000031128919, clase=0, paquetes=2, payload=72.0, ACK=0, RST=0, SYN=0, duracion=70099
Flujo 165: prob=0.000691152061, clase=0, paquetes=2, payload=56.0, ACK=0, RST=0, SYN=0, duracion=11626
Flujo 166: prob=0.000000000045, clase=0, paquetes=2, payload=154.0, ACK=0, RST=0, SYN=0, duracion=210285
Flujo 167: prob=0.000000000001, clase=0, paquetes=2, payload=175.0, ACK=0, RST=0, SYN=0, duracion=67222
Flujo 168: prob=0.000001551600, clase=0, paquetes=2, payload=88.0, ACK=0, RST=0, SYN=0, duracion=117018
Flujo 169: prob=0.000000000000, clase=0, paquetes=2, payload=218.0, ACK=0, RST=0, SYN=0, duracion=96429
Flujo 170: prob=0.000000000000, clase=0, paquetes=2, payload=194.0, ACK=0, RST=0, SYN=0, duracion=61884
Flujo 171: prob=0.000001573126, clase=0, paquetes=2, payload=88.0, ACK=0, RST=0, SYN=0, duracion=113293
